啊	aaoo
阿	aapo
吖	aaoy
锕	aazo
腌	aanl
爱	aija
哎	aiox
唉	aior
艾	aihx
挨	aifr
癌	aije
矮	aiva
哀	aiik
埃	aiyr
碍	aipd
欸	aiuv
砹	aipx
隘	aipq
瑷	aiia
暧	aiba
毐	aiyq
嗳	aioa
蔼	aihl
锿	aizk
霭	aitl
嗌	aioq
叆	aiga
嫒	aiaa
皑	aijl
按	anfa
安	anna
案	annm
俺	anvl
暗	anbb
氨	anka
胺	anna
庵	anjl
岸	anet
鞍	anha
黯	anib
铵	anza
桉	anma
唵	anol
谙	anib
埯	anyl
盦	anvq
垵	anya
犴	anqt
鹌	anrs
𩽾	anua
昂	ahbp
卬	ahcp
盎	ahrq
肮	ahnw
奥	aojr
熬	aoyd
嗷	aooa
澳	aodr
凹	aooi
傲	aova
敖	aoya
鳌	aoyu
袄	aotr
螯	aoyc
拗	aofx
坳	aoyx
獒	aoyd
媪	aoaq
岙	aoje
翱	aoje
遨	aoyz
鏊	aoyz
薁	aohr
懊	aolr
璈	aoia
鏖	aojz
骜	aoys
隩	aopr
聱	aoyb
奡	aotg
廒	aoja
嶅	aoye
吧	baol
把	bafl
八	bagj
巴	balz
扒	bafg
拔	bafd
罢	baqu
叭	baog
爸	bagl
靶	bahl
钯	bazl
疤	bajl
霸	batn
芭	bahl
耙	baml
坝	bayr
灞	badn
捌	bafg
跋	baed
粑	bagl
魃	bawd
鲃	baul
妭	baad
鲅	baud
菝	bahd
羓	bayl
胈	band
朳	bamg
笆	bakl
岜	bael
蚆	bacl
白	bljb
摆	blfu
拜	bljt
百	bltb
掰	blff
败	blra
柏	blmb
佰	blvb
稗	blux
捭	blfx
伯	blvb
版	bjka
班	bjii
半	bjgf
板	bjma
般	bjna
办	bjxg
搬	bjfa
拌	bjff
斑	bjii
伴	bjvf
瓣	bjix
扮	bjfh
扳	bjfa
绊	bjwf
颁	bjgr
坂	bjya
阪	bjpa
钣	bjza
癍	bjji
柈	bjmf
攽	bjga
瘢	bjja
昄	bjba
湴	bjdh
靽	bjhf
𨭉	bjiz
帮	bhfe
棒	bhmf
榜	bhmh
磅	bhph
邦	bhfw
绑	bhwp
镑	bhzh
傍	bhvh
蚌	bhcf
浜	bhdg
谤	bhih
梆	bhmp
膀	bhnh
搒	bhfh
玤	bhif
蒡	bhhh
塝	bhyh
𠳐	bhow
包	bkhl
宝	bknd
报	bkfa
保	bkvm
爆	bkrx
抱	bkfl
薄	bkhd
堡	bkvy
曝	bkbx
饱	bkkl
鲍	bkul
煲	bkvr
剥	bkeg
暴	bkbx
豹	bkqd
刨	bkhg
褒	bkik
胞	bknl
葆	bkhm
苞	bkhl
鸨	bkls
炮	bkrl
雹	bktl
孢	bkzl
枹	bkml
龅	bkyl
趵	bked
褓	bktm
瀑	bkdx
被	bzta
背	bzxn
倍	bzvo
呗	bzor
杯	bzmt
北	bzxi
贝	bzri
备	bzaq
悲	bzxu
碑	bzpx
辈	bzxl
钡	bzzr
焙	bzro
邶	bzxw
卑	bzjx
悖	bzlz
孛	bzxz
蓓	bzho
陂	bzpa
碚	bzpo
琲	bzix
惫	bzau
鹎	bzjs
鞴	bzhf
狈	bzqr
棓	bzmo
椑	bzmx
褙	bztn
糒	bzgf
臂	bzpn
鐾	bzpz
鞁	bzha
𬇙	bzdr
本	bfmh
笨	bfkm
奔	bfrh
苯	bfhm
畚	bfuq
贲	bfxr
锛	bfzh
犇	bfff
坌	bfgy
夯	bfrx
倴	bfvh
栟	bfmh
崩	bgen
蹦	bgen
