啊,1=aadz
阿,1=aatz
吖,1=aadg
锕,1=aazz
腌,1=aava
爱,1=aiyr
哎,1=aidb
唉,1=aido
艾,1=ailb
挨,1=aiuo
癌,1=aiav
矮,1=aiob
哀,1=aitd
埃,1=aigo
碍,1=aimk
欸,1=aike
砹,1=aimb
隘,1=aita
瑷,1=ainr
暧,1=aior
毐,1=aigk
嗳,1=aidr
蔼,1=ailf
锿,1=aizd
霭,1=aitf
嗌,1=aida
叆,1=aibr
嫒,2=aibr
皑,1=aiuv
按,1=anub
安,1=anwb
案,1=anwe
俺,1=anja
暗,1=anox
氨,1=anvb
胺,2=anvb
庵,1=anxa
岸,1=anve
鞍,1=antb
黯,1=anpx
铵,1=anzb
桉,1=aneb
唵,1=anda
谙,1=ansx
埯,1=anga
盦,2=anja
垵,1=angb
犴,1=anme
鹌,1=anmx
𩽾,2=anwb
昂,1=ahoz
卬,1=ahbz
盎,1=ahma
肮,1=ahvo
奥,1=aotm
熬,1=aoac
嗷,1=aodh
澳,1=aokm
凹,1=aomf
傲,1=aojh
敖,1=aoah
鳌,1=aoaw
袄,2=aotm
螯,2=aoac
拗,1=aous
坳,1=aogs
獒,1=aoam
媪,1=aoba
岙,1=aotv
翱,1=aouz
遨,1=aoau
鏊,1=aoaz
薁,1=aolm
懊,1=aohm
璈,1=aonh
鏖,1=aoxz
骜,1=aoan
隩,3=aotm
聱,1=aoaq
奡,1=aofp
廒,1=aoxh
嶅,1=aoav
吧,1=badm
把,1=baum
八,1=bahb
巴,1=bamb
扒,1=bauh
拔,1=baui
罢,1=bayk
叭,1=badh
爸,1=bahm
靶,1=batm
钯,1=bazm
疤,1=baam
霸,1=batv
芭,1=balm
耙,2=baam
坝,1=bago
灞,1=bakv
捌,1=baup
跋,1=bapi
粑,1=bapm
魃,1=baai
鲃,1=bawm
妭,1=babi
鲅,1=bawi
菝,1=bali
羓,1=bagm
胈,1=bavi
朳,1=baeh
笆,1=barm
岜,1=bavm
蚆,1=bacm
白,1=blub
摆,1=bluk
拜,1=blua
百,1=blfu
掰,1=bluu
败,1=bloh
柏,1=bleu
佰,1=blju
稗,1=blxn
捭,1=blun
伯,2=blju
版,1=bjar
班,1=bjnn
半,1=bjhu
板,1=bjer
般,1=bjir
办,1=bjsh
搬,1=bjur
拌,1=bjuu
斑,2=bjnn
伴,1=bjju
瓣,3=bjnn
扮,1=bjup
扳,2=bjur
绊,1=bjiu
颁,1=bjhw
坂,1=bjgr
阪,1=bjtr
钣,1=bjzr
癍,1=bjan
柈,1=bjeu
攽,1=bjhh
瘢,2=bjar
昄,1=bjor
湴,1=bjkc
靽,1=bjtu
𨭉,1=bjvz
帮,1=bhar
棒,1=bheu
榜,1=bhel
磅,1=bhml
邦,1=bhat
绑,1=bhit
镑,1=bhzl
傍,1=bhjl
蚌,1=bhca
浜,1=bhkh
谤,1=bhsl
梆,1=bhet
膀,1=bhvl
搒,1=bhul
玤,1=bhna
蒡,1=bhll
塝,1=bhgl
𠳐,1=bhdt
包,1=bknv
宝,1=bkwi
报,1=bkur
保,1=bkje
爆,1=bkck
抱,1=bkuv
薄,1=bklk
堡,1=bkjg
曝,1=bkok
饱,1=bkqv
鲍,1=bkwv
煲,1=bkjc
剥,1=bkbp
暴,2=bkok
豹,1=bkmi
刨,1=bknp
褒,1=bkte
胞,1=bkvv
葆,1=bkle
苞,1=bklv
鸨,1=bkvx
炮,1=bkcv
雹,1=bktv
孢,1=bkhv
枹,1=bkev
龅,2=bklv
趵,1=bkpi
褓,2=bkte
瀑,1=bkkk
被,1=bztr
背,1=bzav
倍,1=bzjd
呗,1=bzdo
杯,1=bzec
北,2=bzav
贝,1=bzob
备,1=bzhq
悲,1=bzrh
碑,1=bzmn
辈,1=bzry
钡,1=bzzo
焙,1=bzcd
邶,1=bzat
卑,1=bzun
悖,1=bzhh
孛,1=bznh
蓓,1=bzld
陂,2=bztr
碚,1=bzmd
琲,1=bznr
惫,2=bzhh
鹎,1=bzux
鞴,1=bztt
狈,1=bzmo
棓,1=bzed
椑,1=bzen
褙,1=bztv
糒,1=bzpt
臂,1=bzcv
鐾,1=bzcz
鞁,3=bztr
𬇙,1=bzko
本,1=bfef
笨,1=bfrf
奔,1=bfml
苯,1=bflf
畚,1=bfkq
贲,1=bfno
锛,1=bfzl
犇,1=bfqq
坌,1=bfhg
夯,1=bfms
倴,1=bfjl
栟,1=bfel
崩,1=bgvv
蹦,1=bgpv
泵,1=bgmk
甭,1=bgct
绷,1=bgiv
嘣,1=bgdv
迸,1=bghu
甏,1=bghr
蚌,1=bgca
琫,1=bgnu
祊,1=bgfl
镚,1=bgzv
比,1=bivv
笔,1=birv
逼,1=bifu
必,1=biht
币,1=bitr
鼻,1=biol
臂,1=bicv
壁,1=bicg
彼,1=biwr
毕,1=bivn
避,1=bicu
碧,1=binm
哔,1=bidn
闭,1=biat
弊,1=bifl
璧,1=bici
铋,1=bizt
敝,1=bifh
匕,1=bivb
毙,2=bivv
俾,1=bijn
鄙,1=bidt
蔽,1=bilh
婢,1=bibn
濞,1=bikl
庇,1=bixv
畀,1=biql
陛,1=bitg
弼,1=bibb
痹,1=bial
妣,1=bibv
髀,1=bifn
吡,1=bidv
屄,1=bice
箅,1=birl
滗,1=bikv
庳,1=bixn
嬖,1=bicb
芘,1=bilv
沘,2=bikv
毖,1=bivt
蓖,2=bilv
裨,1=bitn
苾,1=bilt
愎,1=bihh
篦,2=birv
邲,2=biht
皕,2=bifu
襞,1=bict
萆,1=biln
荜,2=biln
薜,3=biln
跸,1=bipn
咇,2=bidt
珌,1=bint
舭,1=biiv
辟,1=bicn
佖,1=bijt
赑,1=bioo
荸,2=bilh
诐,1=bisr
筚,1=birn
秕,2=bixv
贲,1=bino
狴,1=bimg
佛,2=bijt
觱,2=bint
馝,1=bixt
泌,1=bikt
秘,2=bixt
鲾,1=biwq
坒,1=bivg
便,1=bmjb
边,1=bmsu
变,1=bmzr
遍,1=bmmu
编,1=bmii
贬,1=bmor
辩,1=bmnn
扁,1=bmmi
鞭,1=bmtb
辨,2=bmnn
蝙,1=bmci
卞,1=bmzy
煸,2=bmci
弁,1=bmkl
辫,3=bmnn
匾,1=bmni
汴,1=bmky
抃,1=bmuy
昪,1=bmol
苄,1=bmly
笾,1=bmru
砭,1=bmmr
鳊,1=bmwi
萹,1=bmli
忭,1=bmhy
碥,2=bmmi
褊,1=bmti
𨚕,1=bmkt
𰻝,1=bdeu
表,1=bcat
标,1=bcef
婊,1=bcbt
飙,1=bcmb
镖,1=bczf
彪,1=bcze
裱,1=bctt
膘,1=bcvf
杓,1=bcei
鳔,1=bcwf
镳,1=bczc
骉,1=bcnn
熛,1=bccf
摽,1=bcuf
幖,1=bcrf
骠,1=bcnf
藨,1=bclc
儦,1=bcjc
瀌,1=bckc
俵,1=bcjt
飑,1=bcov
瘭,1=bcaf
脿,1=bcvt
别,1=bxdp
憋,1=bxfh
鳖,1=bxfw
瘪,1=bxaj
蹩,1=bxfp
癿,1=bxua
宾,1=bnwh
斌,1=bnvs
彬,1=bnee
髌,1=bnfh
鬓,1=bnph
滨,1=bnkh
豳,1=bnvj
邠,1=bnht
缤,1=bnih
膑,1=bnvh
殡,1=bngh
濒,1=bnkw
摈,1=bnuh
玢,1=bnnp
傧,1=bnjh
镔,1=bnzh
槟,1=bneh
并,1=byhl
病,1=byaj
兵,1=byth
冰,1=bywk
饼,1=byql
柄,1=byej
丙,1=byfj
禀,1=byzf
屏,1=bycl
秉,1=byxb
炳,1=bycj
蛃,2=bycj
昺,1=byoj
摒,1=byul
槟,1=byeh
邴,1=byft
栟,1=byel
波,1=bokr
博,1=bonk
播,1=bouq
薄,1=bolk
拨,1=boui
伯,1=boju
铂,1=bozu
搏,1=bouk
啵,1=bodr
钵,1=bozf
勃,1=bons
驳,1=bonb
玻,1=bonr
脖,1=bovh
帛,1=bour
剥,1=bobp
跛,1=bopr
亳,1=bogr
箔,1=boru
柏,1=boeu
孛,1=bonh
泊,1=boku
钹,1=bozi
渤,1=boks
镈,1=bozk
僰,1=boej
菠,1=bolr
擘,1=bocu
浡,1=bokh
舶,1=boiu
嶓,1=bovq
膊,1=bovk
哱,1=bodh
砵,1=bomf
卜,1=boyb
踣,1=bopd
簸,1=borr
鹁,1=bonx
檗,1=boce
鲌,1=bowu
蕃,1=bolq
艴,1=botm
趵,1=bopi
馞,1=boxh
袯,1=boti
饽,1=boqh
礴,1=bomk
欂,1=boek
𬭛,1=bozr
不,1=bucb
部,1=buit
补,1=buty
步,1=buss
布,1=bunr
簿,1=burk
钚,1=buzc
捕,1=buun
卜,1=buyb
怖,1=buhr
卟,1=budy
晡,1=buon
埠,1=bugn
逋,1=bunu
堡,1=bujg
哺,1=budn
蔀,1=bult
瓿,1=buir
醭,1=buyi
埔,2=bugn
埗,1=bugs
𬷕,1=bunx
擦,1=cauf
嚓,1=cadf
才,1=clnt
菜,1=clle
踩,1=clpe
猜,1=clmv
蔡,1=cllf
财,1=clot
采,1=clye
材,1=clet
裁,2=clnt
彩,2=clye
睬,1=clqe
偲,1=cljh
惨,1=cjhe
餐,1=cjgq
残,1=cjgp
参,1=cjke
蚕,1=cjfc
粲,2=cjgp
灿,1=cjcv
骖,1=cjne
惭,1=cjht
璨,1=cjnp
黪,1=cjpe
䅟,1=cjxe
藏,1=chlq
仓,1=chjz
舱,1=chiz
苍,1=chlz
沧,1=chkz
鸧,1=chjx
伧,2=chjz
草,1=ckln
槽,1=ckeo
曹,1=ckfo
操,1=ckue
艹,1=cklc
糙,1=ckpu
屮,1=cksc
嘈,1=ckdo
漕,1=ckko
芔,1=cksl
肏,1=ckjj
艚,1=ckio
螬,1=ckco
𥕢,1=ckmo
侧,1=cejp
测,1=cekp
册,1=ceic
策,1=cerm
厕,1=cexp
恻,1=cehp
𤭢,1=czzr
岑,1=cfva
涔,1=cfka
参,1=cfke
曾,1=cgho
层,1=cgcb
蹭,1=cgpo
噌,1=cgdo
嶒,1=cgvo
差,1=iagu
茶,1=iale
查,1=iaef
插,1=iaup
叉,1=iari
侘,1=iajr
茬,1=ialg
镲,1=iazf
察,1=iawf
猹,1=iamf
搽,1=iaue
槎,1=iaeu
岔,1=iahv
檫,2=iaef
杈,1=iaei
嚓,1=iadf
碴,2=iamf
姹,1=iabr
汊,1=iaki
衩,1=iati
锸,1=iazp
垞,1=iagr
诧,1=iasr
馇,1=iaqf
刹,1=iabp
喳,2=iadf
蹅,1=iapf
嵖,1=iavf
𥻗,2=iapf
拆,1=ilui
柴,1=ilse
差,1=ilgu
钗,1=ilzi
豺,1=ilmt
虿,1=ilfc
侪,1=iljq
瘥,1=ilau
茝,1=illq
产,1=ijix
铲,1=ijzx
馋,1=ijqw
缠,1=ijid
禅,1=ijfn
蝉,1=ijcn
掺,1=ijue
颤,1=ijzw
搀,1=ijuw
谗,1=ijsw
浐,1=ijkx
婵,1=ijbn
蟾,1=ijcs
澶,1=ijkf
觇,1=ijye
阐,1=ijan
躔,1=ijpg
襜,1=ijts
谄,1=ijsp
镡,1=ijzn
刬,1=ijfp
辿,1=ijvu
忏,1=ijhl
巉,1=ijvw
韂,2=ijts
羼,1=ijcg
廛,1=ijxg
潺,1=ijkh
梴,1=ijeu
孱,1=ijch
蒇,1=ijlo
啴,1=ijdn
单,1=ijhn
骣,1=ijnh
镵,2=ijzw
瀍,1=ijkg
旵,1=ijov
冁,1=ijht
儳,1=ijjw
𬊤,2=ijcn
唱,1=ihdo
场,1=ihge
长,1=ihpc
常,1=ihsr
厂,1=ihxc
尝,1=ihsb
肠,1=ihve
畅,1=ihoe
昌,1=ihoo
偿,1=ihjb
敞,1=ihsh
娼,1=ihbo
鬯,1=ihpv
怅,1=ihhp
倡,1=ihjo
昶,1=ihio
猖,1=ihmo
嫦,1=ihbr
氅,1=ihsv
伥,1=ihjp
苌,1=ihlp
鲳,1=ihwo
菖,1=ihlo
徜,1=ihws
裳,1=ihst
阊,1=ihao
鲿,1=ihwb
惝,1=ihhs
𬬮,1=ihzp
超,1=ikpd
抄,1=ikut
炒,1=ikct
朝,1=iknv
潮,1=ikkv
吵,1=ikdt
钞,1=ikzt
巢,1=ikoe
嘲,1=ikdv
焯,1=ikcn
晁,1=ikow
怊,1=ikhd
绰,1=ikin
弨,1=ikbd
耖,1=ikat
车,1=ieyc
扯,1=ieus
撤,1=ieuh
彻,1=iewp
掣,1=iequ
澈,1=iekh
坼,1=iegi
尺,1=ieci
砗,1=iemy
㬚,1=ieoh
陈,1=ifty
趁,1=ifpe
臣,1=ifqc
沉,1=ifko
辰,1=iffc
尘,1=ifyg
琛,1=ifne
抻,1=ifug
嗔,1=ifdh
衬,1=iftk
晨,1=ifof
称,1=ifxy
宸,1=ifwf
谶,1=ifsf
谌,1=ifsa
瞋,1=ifqh
忱,1=ifhp
梣,1=ifea
煁,1=ifca
榇,1=ifee
龀,1=iflv
疢,1=ifac
棽,2=ifea
碜,1=ifme
郴,1=ifet
𬘭,1=ifie
成,1=igna
称,1=igxy
城,1=igga
呈,1=igdn
乘,1=igxv
撑,1=iguu
橙,1=igez
程,1=igxn
秤,1=igxh
盛,2=igna
承,1=igat
诚,1=igsa
丞,1=igaf
澄,1=igkz
逞,1=igdu
惩,1=igwh
枨,1=igep
埕,1=iggn
骋,3=igna
铖,1=igza
澂,1=igkh
珵,1=ignn
琤,1=ignb
塍,1=igvg
偁,1=igjg
蛏,1=igcg
赪,1=iggo
噌,1=igdo
酲,1=igyn
宬,1=igwa
柽,1=igeg
瞠,1=igqg
珹,4=igna
牚,1=igsl
晟,1=igoa
铛,1=igzb
憕,1=ighz
裎,1=igtn
庱,2=igxh
吃,1=iida
池,1=iike
持,1=iiuk
赤,1=iigc
尺,1=iici
迟,1=iicu
齿,1=iilc
敕,1=iixh
痴,1=iiad
驰,1=iine
翅,1=iicz
耻,1=iiqs
嗤,1=iidc
豉,1=iizc
斥,1=iiti
螭,1=iicv
叱,1=iidv
彳,1=iiwc
蚩,1=iisc
炽,1=iich
笞,1=iird
哧,2=iidc
媸,1=iibc
饬,2=iiqs
侈,1=iijl
弛,1=iibe
褫,1=iitz
魑,1=iiav
摛,1=iiuv
鸱,1=iibx
啻,1=iiid
瘛,1=iiah
漦,1=iiak
墀,1=iigq
茌,1=iilg
匙,1=iiov
眵,1=iiql
篪,1=iirz
傺,1=iijf
踟,1=iipd
胣,1=iive
瓻,1=iibr
痓,1=iiay
𫄨,1=iiir
冲,1=iswg
重,1=isld
充,1=isbp
虫,1=iscc
宠,1=iswt
崇,1=isvf
铳,1=iszp
舂,1=isap
憧,1=ishd
摏,1=isup
艟,1=isid
翀,1=iszg
忡,1=ishg
茺,1=islp
涌,1=iskt
种,1=isxg
珫,1=isnp
漴,1=iskf
㳘,1=iskp
抽,1=ibud
丑,1=ibag
臭,1=ibom
愁,1=ibxh
瞅,1=ibqc
仇,1=ibjk
筹,1=ibrk
稠,1=ibxd
酬,1=ibyo
雠,1=ibuu
俦,2=ibjk
绸,1=ibid
畴,1=ibqk
瘳,1=ibae
惆,1=ibhd
杻,1=ibeg
帱,2=ibrk
椆,1=ibed
犨,1=ibuq
踌,1=ibpk
侴,1=ibjp
出,1=iusm
处,1=iuhy
除,1=iutx
初,1=iutp
楚,1=iuet
厨,1=iuxk
触,1=iuxc
褚,1=iuto
杵,1=iuen
储,1=iujo
锄,1=iuzs
怵,1=iuhi
雏,1=iuxu
橱,1=iuek
畜,1=iuzq
黜,1=iupm
刍,1=iuxb
础,1=iumm
俶,1=iujr
楮,1=iueo
矗,1=iunf
亍,1=iuwc
滁,1=iukx
绌,1=iuim
樗,1=iuea
憷,1=iuht
斶,1=iutc
搐,1=iuuq
摴,1=iuua
躇,1=iupo
蜍,1=iucx
濋,1=iukt
蹰,1=iupk
䝙,1=iumb
䢺,1=iust
琡,1=iunr
𬺓,1=iult
欻,1=iwce
踹,1=iypl
揣,1=iyul
搋,1=iyuz
啜,1=iydr
穿,1=irel
传,1=irji
船,1=irid
川,1=iroc
串,1=irdg
氚,1=irvo
喘,1=irdl
钏,1=irzo
舛,1=irlv
椽,1=irej
遄,1=irvu
床,1=idxe
创,1=idjp
窗,1=ideh
闯,1=idan
疮,1=idaz
怆,1=idhz
幢,1=idrd
噇,1=iddd
吹,1=ivde
锤,1=ivzg
捶,1=ivug
垂,1=ivlg
炊,1=ivce
槌,1=iveu
圌,1=ivrl
棰,1=iveg
倕,1=ivjg
陲,1=ivtg
纯,1=ipis
蠢,1=ipac
春,1=ipao
唇,1=ipfd
醇,1=ipyh
椿,1=ipeo
淳,1=ipkh
蝽,1=ipco
鹑,1=ipgx
莼,1=ipls
瑃,1=ipno
䲠,1=ipwo
堾,1=ipgo
𬭚,1=ipzh
戳,1=iozp
啜,1=iodr
辍,1=ioyr
绰,1=ioin
龊,1=iolp
踔,1=iopn
逴,1=ioyu
惙,1=iohr
次,1=ciwe
此,1=cisv
词,1=cisd
刺,1=ciep
赐,1=cioe
磁,1=cimi
茨,1=cile
呲,1=cidv
辞,1=cian
雌,1=cisu
瓷,1=ciwr
祠,1=cifd
慈,1=cihh
泚,1=cikv
疵,1=ciav
伺,1=cijd
玼,1=cinv
糍,1=cipi
跐,1=cipv
差,1=cigu
茈,1=cilv
兹,1=cihi
佽,1=cije
鹚,1=cihx
莿,1=cilp
𫚖,1=cisw
从,1=csjj
葱,1=cslh
聪,1=csqh
丛,1=csjf
琮,1=csnf
悰,1=cshf
骢,1=csnh
枞,1=csej
璁,2=csnh
淙,1=cskf
熜,1=csch
匆,1=csni
囱,1=csth
苁,1=cslj
凑,1=cbwm
腠,1=cbvm
辏,1=cbym
粗,1=cupf
醋,1=cuyo
促,1=cujp
簇,1=curo
蹙,1=cunp
蹴,1=cupo
猝,1=cumn
殂,1=cugf
徂,1=cuwf
卒,1=cuzn
蔟,1=culo
窜,1=creg
蹿,1=crpg
汆,1=crjk
篡,1=crrk
爨,1=crpc
攒,1=cruo
撺,1=crug
镩,1=crzg
催,1=cvju
崔,1=cvvu
脆,1=cvvz
翠,1=cvzn
啐,1=cvdn
萃,1=cvln
摧,1=cvuu
淬,1=cvkn
粹,1=cvpn
毳,1=cvvv
璀,1=cvnu
悴,1=cvhn
瘁,1=cvan
漼,1=cvku
缞,1=cvif
榱,1=cvef
寸,1=cpkc
存,1=cpnh
村,1=cpek
邨,1=cpft
皴,1=cpkr
忖,1=cphk
错,1=cozo
搓,1=couu
挫,1=coug
措,1=couo
锉,1=cozg
厝,1=coxo
撮,1=cour
蹉,1=copu
矬,1=coog
痤,1=coag
瑳,1=conu
嵯,1=covu
鹾,1=coyu
磋,1=comu
脞,1=covg
棤,1=coeo
莝,1=colg
大,1=damd
打,1=daua
答,1=dard
达,1=damu
搭,1=daud
哒,1=dadu
嗒,1=dadd
妲,1=dabf
鞑,1=datu
怛,1=dahf
沓,1=dako
炟,1=dacf
跶,1=dapu
笪,1=darf
耷,1=damq
靼,1=datf
垯,1=dagu
溚,1=dakd
瘩,1=daad
褡,1=datd
荙,1=dalu
鿎,2=damu
𨱏,1=dazd
𫟼,1=dazu
带,1=dllr
代,1=dljp
待,1=dlwk
呆,1=dlde
戴,1=dlnh
贷,1=dljo
袋,1=dljt
黛,2=dljp
逮,1=dlbu
岱,1=dljv
殆,1=dlgd
迨,1=dlku
呔,1=dldi
歹,2=dlgd
玳,1=dlnp
傣,1=dljk
怠,1=dlkh
绐,1=dlid
埭,1=dlgk
大,1=dlmd
轪,1=dlym
骀,1=dlnd
叇,2=dlbu
垈,1=dljg
但,1=djjf
单,1=djhn
蛋,1=djtc
弹,1=djbn
淡,1=djkc
丹,1=djmz
氮,1=djvc
胆,1=djvf
担,1=djuf
旦,1=djof
啖,1=djdc
掸,1=djun
澹,1=djks
亶,1=djzf
石,1=djms
诞,1=djsu
惮,2=djhn
耽,1=djqp
儋,1=djjs
聃,1=djqg
殚,1=djgn
疍,1=djtf
箪,1=djrn
憺,1=djhs
膻,2=djvf
瘅,1=djan
眈,2=djqp
萏,1=djlp
赕,1=djoc
郸,1=djht
疸,1=djaf
𫢸,1=djjn
𬘘,1=djip
当,1=dhyb
党,1=dhsp
档,1=dheb
挡,1=dhub
裆,1=dhtb
荡,1=dhle
铛,1=dhzb
宕,1=dhwm
砀,1=dhme
凼,1=dhkm
珰,1=dhnb
谠,2=dhsp
菪,1=dhlm
垱,1=dhgb
筜,1=dhrb
𣗋,1=dhep
𬍡,1=dhki
到,1=dkyp
道,1=dkhu
刀,1=dkpd
倒,1=dkjp
岛,1=dkxv
导,1=dkvk
盗,1=dkwa
叨,1=dkdp
氘,1=dkvp
稻,1=dkxp
捣,1=dkuv
悼,1=dkhn
纛,1=dkai
蹈,1=dkpp
祷,1=dkfk
捯,1=dkup
忉,1=dkhp
帱,1=dkrk
舠,1=dkip
鱽,1=dkwp
的,1=deui
得,1=dewk
地,1=dege
德,1=dewh
锝,1=dezk
嘚,1=dedk
得,1=dzwk
嘚,1=dzdk
扽,1=dfus
等,1=dgrk
灯,1=dgca
登,1=dghz
邓,1=dgrt
蹬,1=dgpz
凳,1=dgho
瞪,1=dgqz
噔,1=dgdz
镫,1=dgzz
戥,1=dgop
磴,1=dgmz
嶝,1=dgvz
澄,1=dgkz
璒,1=dgnz
地,1=dige
第,1=dirt
低,1=diji
滴,1=dikc
底,1=dixi
帝,1=diir
迪,1=didu
敌,1=diah
蒂,1=dilr
抵,1=diui
笛,1=dird
递,1=dihu
狄,1=dimc
弟,1=diht
镝,1=dizc
氐,1=dibi
嫡,1=dibc
堤,1=digt
骶,1=difi
棣,1=diek
邸,1=dibt
的,2=diui
碲,1=dimr
嘀,1=didc
睇,1=diqt
禘,1=difr
谛,1=disr
籴,1=dijp
砥,1=dimi
鞮,1=ditt
涤,1=dike
荻,1=dilc
菂,1=dili
娣,2=dibt
诋,1=disi
觌,1=dine
羝,1=digi
柢,1=diei
翟,1=dizu
杕,1=diem
髢,1=dipe
坻,2=digi
茋,2=dili
缔,2=diir
踶,1=dipt
媂,1=dibr
提,1=diut
蹢,1=dipc
玓,1=dini
䃅,1=dimn
䗖,1=dicr
𤧛,1=dinr
𬱖,1=didw
嗲,1=dwdl
点,1=dmyc
店,1=dmxd
电,1=dmoa
垫,1=dmug
碘,1=dmmh
殿,1=dmcr
颠,1=dmnw
典,1=dmih
滇,1=dmkh
甸,1=dmnq
掂,1=dmud
簟,1=dmrn
癫,1=dmaw
巅,1=dmvw
奠,1=dmhm
靛,1=dmat
钿,1=dmzq
踮,1=dmpd
佃,1=dmjq
淀,1=dmkt
玷,1=dmnd
惦,1=dmhd
坫,1=dmgd
癜,1=dmar
扂,1=dmmd
阽,1=dmtd
琔,1=dmnt
掉,1=dcun
调,1=dcsd
吊,1=dcdr
屌,1=dccr
叼,1=dcdf
钓,1=dczi
雕,1=dcmu
刁,1=dcaf
貂,1=dcmd
凋,1=dcwd
鲷,2=dcwd
碉,2=dcmd
铫,1=dczw
窎,1=dcex
铞,1=dczr
汈,1=dckf
跌,1=dxph
爹,1=dxhl
叠,1=dxrf
碟,1=dxme
蝶,1=dxce
迭,1=dxtu
谍,1=dxse
牒,1=dxae
昳,1=dxoh
鲽,1=dxwe
喋,1=dxde
堞,1=dxge
瓞,1=dxyh
耋,1=dxqy
垤,1=dxgy
绖,1=dxiy
楪,1=dxee
蹀,1=dxpe
𫶇,1=dxvr
定,1=dywt
顶,1=dyaw
丁,1=dyad
盯,1=dyqa
订,1=dysa
钉,1=dyza
鼎,2=dyqa
叮,1=dyda
碇,1=dymt
町,3=dyqa
腚,1=dyvt
锭,1=dyzt
玎,1=dyna
啶,1=dydt
酊,1=dyya
仃,1=dyja
疔,1=dyaa
耵,4=dyqa
萣,1=dylt
丢,1=dqtk
铥,1=dqzk
懂,1=dshd
动,1=dsbs
东,1=dsry
洞,1=dskd
冻,1=dswy
冬,1=dshw
董,1=dsld
栋,1=dsey
咚,1=dsdw
氡,1=dsvw
侗,1=dsjd
鸫,1=dsrx
胴,1=dsvd
峒,2=dsvd
恫,2=dshd
硐,1=dsmd
岽,1=dsvy
垌,1=dsgd
胨,2=dsvy
𬟽,1=dscy
都,1=dbqt
斗,1=dbjd
抖,1=dbuj
豆,1=dbzd
逗,1=dbzu
兜,1=dbup
痘,1=dbaz
陡,1=dbtp
窦,1=dbem
读,1=dbsm
蔸,1=dblp
蚪,1=dbcj
钭,1=dbzj
篼,1=dbrp
读,1=dusm
度,1=duxr
都,1=duqt
赌,1=duoo
毒,1=duak
堵,1=dugo
杜,1=dueg
独,1=dumc
渡,1=dukr
督,1=duyq
肚,1=duvg
镀,1=duzr
笃,1=durn
嘟,1=dudt
蠹,1=dunc
睹,1=duqo
妒,1=dubm
犊,1=duqm
渎,1=dukm
椟,1=duem
牍,1=duam
阇,1=duao
厾,2=duak
芏,1=dulg
黩,1=dupm
髑,1=dufc
𬭊,1=duzg
端,1=dril
段,1=drur
短,1=droz
断,1=drpt
椴,1=drer
锻,1=drzr
缎,1=drir
耑,1=drvl
煅,1=drcr
塅,1=drgr
簖,1=drrt
瑖,1=drnr
